,EDUCATION,SEX,MARRIAGE,AGE
127,1,1,1,36
128,2,1,1,51
129,3,1,1,55
130,1,2,2,23
131,1,1,2,41
132,2,1,1,34
133,3,1,1,46
134,2,2,2,22
135,2,1,1,34
136,1,1,2,27
137,2,2,1,33
138,3,2,1,51
139,1,1,2,24
140,1,1,2,47
141,2,1,2,28
142,2,1,2,23
143,2,1,2,29
144,1,1,2,29
145,1,1,2,28
146,2,2,2,27
147,1,1,2,34
148,2,2,1,23
149,1,2,1,60
150,2,1,1,32
151,1,1,2,25
152,1,1,2,41
153,2,2,1,56
154,3,2,2,26
155,1,1,1,34
156,1,2,2,37
157,3,2,2,30
158,3,1,1,45
159,3,1,1,57
160,1,1,2,41
161,2,1,2,27
162,3,1,1,47
163,1,2,1,34
164,2,2,1,46
165,1,2,2,27
166,1,1,2,50
167,2,1,1,27
168,2,2,1,35
169,2,2,2,22
170,2,1,2,37
171,1,2,2,30
172,2,2,2,22
173,1,2,2,24
174,1,1,2,29
175,3,1,1,56
176,1,1,2,30
177,2,1,2,30
178,2,2,2,22
179,2,2,1,29
180,1,1,2,37
181,3,2,2,35
182,1,2,1,47
183,2,2,1,24
184,2,1,2,25
185,2,2,1,38
186,1,2,2,32
187,3,2,2,47
188,2,2,1,34
189,2,2,2,31
190,1,1,2,32
191,1,2,2,27
192,1,2,2,29
193,1,2,2,24
194,2,1,1,36
195,1,2,2,24
196,2,2,1,34
197,1,2,2,22
198,1,2,1,34
199,3,2,2,22
200,1,2,1,38
201,1,1,2,31
202,1,2,2,26
203,2,1,2,26
204,2,2,1,48
205,3,1,1,43
206,1,1,1,47
207,2,2,1,41
208,2,2,2,24
209,1,2,1,50
210,1,1,2,24
211,1,2,1,38
212,3,2,1,43
213,2,1,2,39
214,2,1,2,27
215,3,1,1,42
216,2,2,1,36
217,2,1,2,36
218,3,2,0,31
219,1,2,2,38
220,1,2,1,40
221,3,2,2,45
222,2,2,2,35
223,2,2,2,33
224,3,2,2,37
225,1,2,2,28
226,3,1,1,44
227,2,1,1,37
228,2,1,2,23
229,3,2,2,24
230,1,2,2,24
231,2,1,2,23
232,2,1,1,26
233,2,1,2,34
234,2,2,1,33
235,1,1,2,35
236,2,2,2,27
237,1,2,2,31
238,3,2,1,50
239,2,2,3,41
240,1,2,2,28
241,1,1,2,39
242,2,2,2,27
243,1,2,2,32
244,1,2,2,40
245,2,2,2,40
246,2,2,1,75
247,2,2,2,27
248,1,1,2,25
249,3,1,1,46
250,2,2,2,26
251,2,1,2,28
252,2,2,2,26
253,1,2,2,28
254,2,2,2,29
255,2,1,1,25
256,2,2,1,48
257,2,2,1,33
258,3,2,1,43
259,1,1,1,48
260,1,2,2,29
261,2,1,2,29
262,1,2,1,38
263,1,2,2,37
264,1,2,2,37
265,2,2,1,25
266,3,1,2,23
267,3,2,2,49
268,1,2,2,48
269,2,1,2,27
270,3,1,2,32
271,1,1,1,34
272,1,2,2,58
273,2,2,2,33
274,2,2,2,28
275,2,2,2,36
276,1,1,1,40
277,1,2,2,26
278,3,1,1,33
279,2,2,1,31
280,1,2,2,27
281,2,1,1,44
282,3,2,2,30
283,1,2,2,28
284,3,2,1,32
285,1,2,1,46
286,1,1,2,38
287,2,2,1,46
288,2,2,2,25
289,2,2,1,46
290,1,1,2,33
291,2,2,2,22
292,2,1,1,43
293,2,1,2,27
294,1,1,2,29
295,1,1,2,31
296,2,2,1,29
297,2,2,1,36
298,1,2,1,36
299,1,1,2,34
300,2,1,2,37
301,1,2,2,36
302,3,2,1,40
303,1,2,2,25
304,1,2,2,27
305,2,2,2,26
306,2,2,1,36
307,2,2,1,27
308,3,1,1,55
309,1,2,2,27
310,2,2,1,38
311,2,2,1,34
312,1,1,2,40
313,3,2,1,49
314,1,1,2,27
315,2,1,2,23
316,2,2,2,36
317,3,2,1,53
318,3,2,1,46
319,2,1,2,29
320,2,1,2,29
321,1,2,2,27
322,2,1,2,24
323,2,2,1,28
324,2,2,2,32
325,2,1,2,43
326,2,2,1,41
327,2,2,1,34
328,2,1,1,55
329,1,1,1,40
330,2,2,1,37
331,2,2,2,40
332,1,2,2,28
333,2,2,1,43
334,1,1,2,27
335,1,2,2,28
336,1,2,2,30
337,2,2,2,31
338,2,2,1,31
339,1,2,2,34
340,2,2,2,30
341,2,1,2,36
342,1,2,2,29
343,1,1,1,39
344,1,2,2,26
345,1,2,2,29
346,2,2,2,26
347,2,2,2,29
348,2,2,2,31
349,2,2,2,26
350,1,1,2,26
351,1,1,1,36
352,1,1,2,30
353,2,2,2,43
354,3,1,1,58
355,2,1,1,45
356,2,2,2,26
357,2,1,2,34
358,4,2,2,24
359,1,1,1,34
360,2,2,2,23
361,2,2,2,30
362,2,1,2,32
363,1,1,1,40
364,1,2,2,35
365,2,2,1,56
366,2,2,1,61
367,2,1,2,24
368,1,1,1,40
369,2,2,1,32
370,2,1,1,36
371,1,1,2,30
372,1,2,2,34
373,3,1,3,54
374,1,1,1,46
375,3,1,1,58
376,2,1,1,43
377,1,2,2,28
378,1,1,2,30
379,2,1,2,31
380,2,2,2,29
381,2,2,1,37
382,3,1,1,36
383,2,2,2,28
384,2,1,2,25
385,5,2,1,42
386,1,2,2,29
387,3,1,1,73
388,2,1,1,43
389,1,1,1,30
390,1,1,1,38
391,2,2,1,39
392,2,1,1,44
393,2,2,2,29
394,1,1,1,51
395,1,2,2,27
396,1,1,2,38
397,2,2,2,22
398,2,2,1,30
399,2,2,2,25
400,1,1,2,29
401,3,2,3,42
402,1,1,2,41
403,2,1,1,48
404,1,2,2,29
405,1,1,1,52
406,2,2,1,25
407,1,1,1,37
408,1,2,2,27
409,1,1,2,31
410,1,2,2,23
411,1,2,1,38
412,1,2,1,32
413,2,2,2,27
414,3,2,1,41
415,3,2,1,35
416,1,2,2,31
417,1,2,2,30
418,2,1,1,48
419,1,2,2,36
420,1,1,2,24
421,1,2,2,29
422,2,2,2,38
423,2,1,1,38
424,2,2,1,30
425,2,2,1,32
426,3,2,2,49
427,1,2,2,31
428,1,1,2,27
429,2,2,2,33
430,2,2,2,25
431,1,2,2,27
432,1,2,2,29
433,1,2,1,36
434,3,1,1,55
435,2,2,1,32
436,1,2,2,27
437,3,1,1,37
438,1,2,1,25
439,1,2,2,23
440,2,1,2,23
441,1,1,2,32
442,1,2,2,26
443,1,2,2,27
444,1,1,2,44
445,2,1,2,34
446,1,2,2,28
447,1,2,1,53
448,4,1,1,42
449,3,2,1,30
450,1,1,1,51
451,1,1,1,53
452,2,1,2,37
453,1,2,2,26
454,2,1,2,42
455,2,1,2,39
456,3,1,2,39
457,1,1,2,32
458,2,2,1,41
459,2,1,1,48
460,2,2,1,38
461,2,2,1,36
462,2,2,2,26
463,1,2,2,28
464,3,2,3,56
465,1,1,1,59
466,1,1,2,38
467,2,1,2,32
468,2,1,1,38
469,1,2,1,41
470,3,2,2,35
471,2,2,2,41
472,2,1,1,34
473,3,1,1,38
474,2,2,1,32
475,2,2,2,29
476,1,1,2,44
477,2,2,1,37
478,1,2,1,38
479,1,1,2,31
480,2,2,1,40
481,2,1,2,26
482,2,2,2,28
483,3,1,1,48
484,2,2,1,43
485,2,1,1,31
486,1,2,1,42
487,2,1,1,39
488,2,2,1,36
489,1,2,1,34
490,2,2,2,32
491,2,2,1,43
492,2,1,2,30
493,2,2,2,28
494,1,2,1,28
495,1,1,1,41
496,3,2,2,47
497,2,1,2,23
498,1,2,1,49
499,1,1,1,38
500,2,2,1,38
501,2,2,1,35
502,6,2,2,46
503,1,2,1,33
504,6,1,1,53
505,1,1,2,35
506,2,2,2,43
507,2,2,2,28
508,2,2,1,30
509,1,1,2,26
510,2,1,1,31
511,2,2,2,35
512,1,1,2,28
513,2,1,2,23
514,2,2,2,23
515,3,1,1,56
516,3,1,1,32
517,2,1,1,47
518,2,2,2,22
519,1,2,1,34
520,1,2,1,31
521,2,2,2,27
522,1,1,2,28
523,2,2,1,42
524,1,2,2,32
525,2,2,2,27
526,2,1,2,27
527,2,2,1,45
528,1,1,2,26
529,2,2,2,21
530,2,1,2,23
531,2,1,3,30
532,2,1,2,46
533,3,2,1,50
534,1,1,2,26
535,2,1,2,25
536,1,2,2,35
537,2,1,1,44
538,1,2,2,52
539,2,2,1,40
540,1,2,2,38
541,1,2,2,28
542,2,2,1,36
543,1,2,2,24
544,1,2,1,34
545,1,2,2,31
546,1,2,1,41
547,2,2,2,25
548,1,2,2,28
549,1,1,2,27
550,3,1,1,52
551,1,2,2,41
552,1,1,1,56
553,1,2,1,42
554,2,2,2,24
555,2,2,1,47
556,1,2,1,33
557,2,2,2,32
558,2,1,2,29
559,3,2,1,53
560,1,1,2,34
561,2,2,2,52
562,2,2,1,42
563,2,1,2,38
564,1,2,2,45
565,3,2,2,35
566,1,2,2,24
567,1,1,2,28
568,3,1,2,26
569,1,2,1,40
570,1,2,2,29
571,2,2,2,23
572,1,1,2,33
573,2,2,2,60
574,3,2,1,49
575,1,1,1,53
576,1,2,2,28
577,1,1,2,31
578,2,1,2,36
579,2,1,1,35
580,2,1,2,28
581,2,1,2,33
582,1,1,2,26
583,3,2,2,53
584,2,1,2,42
585,1,2,2,25
586,1,1,1,43
587,3,1,2,25
588,2,2,2,29
589,2,2,1,31
590,1,2,1,30
591,1,1,2,34
592,1,1,1,35
593,2,1,1,32
594,3,1,2,46
595,1,1,1,43
596,2,1,2,29
597,3,2,2,31
598,2,2,2,24
599,2,2,1,36
600,2,2,1,43
601,3,1,1,59
602,1,1,1,53
603,2,2,2,28
604,2,2,2,31
605,1,1,2,34
606,2,2,1,36
607,1,2,2,24
608,3,2,1,36
609,2,2,1,34
610,1,1,2,43
611,1,2,2,29
612,2,1,1,37
613,2,1,2,23
614,2,2,1,37
615,1,1,2,33
616,1,2,1,37
617,2,2,1,56
618,1,1,2,25
619,2,2,1,39
620,2,2,1,39
621,2,2,2,28
622,1,2,2,27
623,2,2,1,37
624,1,2,2,24
625,2,2,2,24
626,1,1,1,46
627,1,1,1,39
628,3,1,1,48
629,3,2,3,45
630,3,1,2,49
631,2,2,2,23
632,3,2,1,25
633,2,2,1,47
634,3,1,1,56
635,3,2,1,44
636,3,2,1,49
637,2,1,1,41
638,1,2,2,40
639,2,1,2,31
640,2,1,1,42
641,3,2,1,28
642,2,2,2,32
643,2,1,2,28
644,2,2,1,31
645,3,1,2,39
646,3,1,1,31
647,2,2,2,24
648,2,2,1,44
649,2,2,2,46
650,1,1,2,32
651,2,2,2,26
652,1,2,2,22
653,1,2,1,42
654,2,1,2,33
655,2,1,1,39
656,3,2,2,27
657,1,2,2,28
658,1,2,2,23
659,2,2,2,28
660,1,2,1,33
661,2,1,1,40
662,1,2,2,37
663,1,1,2,22
664,2,2,1,32
665,3,2,1,43
666,3,2,1,27
667,2,2,1,35
668,3,2,1,35
669,1,2,1,30
670,2,2,2,34
671,2,1,1,34
672,1,2,2,28
673,2,1,2,25
674,1,2,1,41
675,3,1,2,42
676,2,1,2,40
677,1,1,2,28
678,2,2,2,31
679,1,2,2,56
680,2,2,3,45
681,1,2,2,29
682,1,2,1,35
683,2,2,2,28
684,1,1,1,40
685,1,1,1,47
686,3,2,1,41
687,2,2,2,27
688,1,1,1,40
689,2,1,2,32
690,2,1,2,35
691,2,1,2,27
692,2,2,1,29
693,1,1,2,30
694,2,1,1,37
695,1,2,2,29
696,1,2,1,34
697,2,2,2,34
698,1,1,1,41
699,1,2,2,31
700,2,2,2,40
701,1,2,1,27
702,3,2,2,22
703,2,2,3,30
704,2,2,3,22
705,1,1,2,26
706,2,1,1,38
707,3,2,1,46
708,2,1,2,24
709,2,1,2,49
710,1,1,3,49
711,2,2,1,42
712,1,2,1,30
713,2,1,1,42
714,1,2,2,31
715,2,2,1,49
716,2,2,2,27
717,2,2,1,33
718,1,2,1,35
719,2,2,2,48
720,2,2,2,22
721,2,1,2,22
722,1,2,2,27
723,1,1,1,47
724,2,2,2,34
725,2,1,1,45
726,2,2,2,39
727,2,1,2,33
728,2,2,2,29
729,1,1,2,29
730,3,2,2,26
731,2,1,1,38
732,1,1,2,34
733,1,2,1,37
734,2,1,1,57
735,3,2,1,50
736,3,2,2,28
737,1,2,2,31
738,1,2,2,25
739,2,2,2,25
740,2,2,1,33
741,1,2,2,30
742,1,2,1,51
743,1,1,2,51
744,2,2,1,46
745,3,1,2,38
746,2,2,1,34
747,3,2,1,34
748,1,2,2,31
749,2,2,2,25
750,2,2,1,26
751,1,2,2,25
752,2,1,2,26
753,2,2,2,43
754,2,2,1,36
755,2,1,2,58
756,2,2,2,26
757,2,2,1,30
758,2,2,2,31
759,2,2,2,24
760,2,2,2,52
761,2,2,2,24
762,2,2,1,35
763,3,2,2,29
764,2,2,1,33
765,1,2,2,35
766,2,2,1,35
767,1,2,2,28
768,2,1,1,40
769,1,2,1,35
770,2,2,2,53
771,1,1,2,44
772,2,1,1,33
773,2,2,1,32
774,1,2,2,33
775,1,2,2,26
776,1,1,2,26
777,2,1,2,26
778,1,2,1,32
779,2,2,2,31
780,1,1,2,29
781,2,1,1,27
782,1,2,2,28
783,1,2,1,42
784,2,2,1,32
785,1,2,2,26
786,1,2,2,38
787,1,2,1,35
788,2,1,2,29
789,2,2,2,29
790,2,2,2,51
791,1,1,2,27
792,1,1,2,32
793,3,2,1,40
794,1,2,1,34
795,2,2,1,30
796,1,2,2,29
797,1,2,2,22
798,1,2,2,48
799,2,2,1,35
800,1,1,2,37
801,2,1,2,25
802,3,2,1,44
803,1,2,2,28
804,2,1,2,29
805,1,2,1,36
806,2,2,2,23
807,3,2,2,36
808,1,2,2,26
809,2,2,0,37
810,1,2,3,44
811,1,2,1,39
812,1,2,2,24
813,3,2,1,29
814,3,1,1,33
815,2,2,1,39
816,3,1,1,51
817,3,2,2,24
818,2,2,1,45
819,1,1,2,30
820,3,2,0,51
821,2,2,2,24
822,2,1,1,50
823,1,2,2,22
824,1,1,2,27
825,2,2,2,33
826,2,2,1,24
827,2,1,2,37
828,2,2,1,58
829,2,2,1,48
830,1,1,2,28
831,3,2,1,24
832,2,2,1,27
833,3,2,2,30
834,1,2,2,23
835,3,2,2,53
836,2,2,2,23
837,2,2,1,55
838,2,1,1,34
839,1,1,1,43
840,2,2,2,22
841,2,2,1,31
842,2,2,1,32
843,2,2,2,33
844,3,1,1,39
845,1,2,1,38
846,2,2,1,34
847,2,1,3,42
848,3,1,1,37
849,3,2,1,57
850,2,2,2,23
851,2,1,2,32
852,1,1,1,37
853,2,2,2,23
854,3,2,2,49
855,2,2,2,25
856,1,2,2,29
857,3,2,1,43
858,2,1,2,29
859,2,2,2,27
860,1,1,2,26
861,1,1,1,41
862,3,2,2,52
863,2,2,1,31
864,1,1,2,32
865,2,2,1,46
866,2,2,2,35
867,1,1,2,35
868,2,2,1,39
869,2,2,2,34
870,2,2,3,52
871,3,2,1,40
872,3,2,1,38
873,1,1,1,45
874,3,2,1,40
875,2,2,1,25
876,1,1,2,33
877,2,2,2,27
878,2,2,1,43
879,2,2,1,43
880,1,1,2,30
881,2,2,1,49
882,1,2,2,38
883,3,1,2,57
884,3,1,2,55
885,2,2,2,23
886,1,1,2,30
887,2,2,1,30
888,2,2,2,24
889,2,1,2,28
890,3,2,1,34
891,2,1,2,37
892,2,2,1,32
893,1,1,2,27
894,2,2,1,37
895,1,1,2,31
896,1,1,3,55
897,1,2,2,28
898,3,2,3,51
899,1,1,1,36
900,1,1,2,30
901,1,2,1,36
902,2,1,2,25
903,3,1,1,50
904,2,2,2,40
905,2,2,2,27
906,1,1,2,30
907,2,2,2,26
908,1,1,2,27
909,1,2,2,27
910,1,2,2,25
911,1,1,2,32
912,3,2,1,46
913,3,1,1,45
914,3,1,1,30
915,1,1,1,39
916,1,1,1,48
917,1,1,2,32
918,1,1,2,46
919,1,2,2,23
920,1,2,2,33
921,1,2,2,24
922,1,1,1,40
923,1,2,2,24
924,2,2,2,24
925,1,1,2,27
926,2,1,1,46
927,2,2,2,22
928,1,2,2,36
929,1,1,1,34
930,2,2,2,24
931,1,1,1,60
932,2,2,2,29
933,2,1,2,32
934,2,2,1,36
935,2,1,2,30
936,2,2,2,29
937,1,1,2,34
938,2,2,1,32
939,2,2,1,32
940,1,2,2,25
941,2,1,1,44
942,1,2,1,37
943,2,2,2,24
944,2,2,2,23
945,1,2,2,29
946,2,2,1,37
947,2,1,1,59
948,2,1,2,33
949,3,2,1,51
950,1,1,1,27
951,2,2,1,32
952,3,2,2,42
953,2,1,2,39
954,2,2,1,46
955,1,1,1,41
956,2,2,2,30
957,1,2,1,34
958,1,1,2,35
959,1,1,2,41
960,1,1,2,43
961,2,1,2,47
962,2,1,2,31
963,2,1,2,30
964,2,1,2,24
965,1,1,1,36
966,1,1,2,28
967,1,2,1,36
968,2,2,1,27
969,2,2,1,32
970,1,1,1,42
971,2,2,1,33
972,3,2,1,39
973,1,2,3,30
974,2,1,1,30
975,2,2,2,22
976,2,1,2,25
977,1,1,2,28
978,2,1,2,26
979,3,2,1,54
980,1,2,2,24
981,2,1,2,29
982,1,1,2,36
983,3,1,1,49
984,1,2,2,23
985,3,1,2,43
986,2,2,1,33
987,3,1,1,53
988,2,2,2,25
989,3,1,1,54
990,3,2,1,39
991,1,2,1,44
992,2,2,2,27
993,1,2,2,25
994,1,2,2,29
995,1,1,2,39
996,1,1,1,45
997,1,1,1,38
998,2,2,2,23
999,2,1,2,25
1000,2,1,1,29
1001,2,2,1,28
1002,2,2,1,40
1003,1,1,2,36
1004,3,2,2,30
1005,1,1,2,29
1006,2,2,2,36
1007,2,2,1,37
1008,2,1,2,34
1009,1,2,2,27
1010,1,1,2,31
1011,1,2,1,31
1012,1,1,2,38
1013,2,1,2,36
1014,1,1,1,46
1015,1,2,1,36
1016,1,2,2,26
1017,3,2,2,57
1018,3,2,1,40
1019,3,2,0,45
1020,1,1,3,57
1021,2,2,2,25
1022,3,2,1,37
1023,1,2,1,35
1024,2,1,2,33
1025,1,1,1,38
1026,2,1,2,31
1027,1,2,2,41
1028,1,1,2,33
1029,2,2,1,67
1030,1,2,1,40
1031,1,1,2,33
1032,1,2,2,31
1033,2,2,2,35
1034,2,2,3,39
1035,2,1,2,27
1036,1,1,2,23
1037,3,1,1,54
1038,3,2,2,23
1039,3,1,2,24
1040,2,1,2,26
1041,2,2,2,52
1042,2,2,1,42
1043,1,2,2,36
1044,1,2,2,22
1045,1,2,2,23
1046,3,1,1,30
1047,3,2,2,24
1048,1,2,1,42
1049,2,1,1,49
1050,2,1,2,31
1051,3,2,2,33
1052,1,1,1,42
1053,3,1,2,41
1054,2,1,1,53
1055,2,1,2,23
1056,1,2,2,33
1057,2,2,1,29
1058,3,2,1,67
1059,3,1,1,33
1060,3,2,1,34
1061,2,1,1,49
1062,2,2,1,56
1063,1,1,1,42
1064,3,2,1,55
1065,2,2,1,25
1066,3,1,2,30
1067,2,1,2,43
1068,1,1,2,40
1069,1,2,2,35
1070,1,1,1,61
1071,2,2,1,44
1072,1,1,2,33
1073,6,1,1,66
1074,2,2,2,40
1075,3,1,2,47
1076,1,1,2,27
1077,1,1,2,35
1078,3,2,1,47
1079,3,2,1,39
1080,2,2,2,29
1081,2,1,1,32
1082,1,2,2,30
1083,1,2,2,25
1084,2,2,2,23
1085,2,2,1,43
1086,2,2,1,41
1087,2,2,1,40
1088,3,2,1,35
1089,1,2,2,28
1090,2,2,2,38
1091,1,1,2,31
1092,3,1,1,29
1093,2,1,1,41
1094,2,1,2,31
1095,1,1,2,29
1096,1,1,2,26
1097,1,1,1,42
1098,3,1,2,29
1099,1,1,1,50
1100,3,2,2,46
1101,2,2,2,24
1102,2,2,1,46
1103,3,2,2,28
1104,2,2,1,35
1105,1,2,1,40
1106,1,2,1,41
1107,2,2,1,47
1108,2,1,1,54
1109,2,2,2,33
1110,2,1,2,29
1111,3,2,1,44
1112,2,2,1,24
1113,1,1,2,33
1114,3,1,1,54
1115,1,1,2,27
1116,2,2,2,37
1117,1,1,2,24
1118,3,2,1,54
1119,2,2,1,34
1120,2,2,2,40
1121,2,1,2,30
1122,2,1,2,26
1123,2,2,1,41
1124,2,2,2,29
1125,1,1,1,38
1126,1,2,2,35
1127,2,2,1,52
1128,1,2,2,29
1129,2,2,2,23
1130,2,2,1,34
1131,2,2,2,34
1132,1,1,1,44
1133,2,2,1,36
1134,2,1,2,28
1135,2,2,2,31
1136,2,1,2,31
1137,2,1,1,41
1138,3,2,1,44
1139,3,2,2,47
1140,2,1,2,25
1141,1,2,2,25
1142,1,2,1,39
1143,2,2,1,24
1144,2,2,1,35
1145,2,1,1,32
1146,1,2,2,31
1147,1,1,2,33
1148,1,2,2,30
1149,2,1,1,52
1150,2,2,1,36
1151,1,1,2,30
1152,2,2,2,42
1153,1,2,2,30
1154,3,1,1,47
1155,2,2,1,29
1156,1,2,2,23
1157,3,1,1,39
1158,2,2,1,48
1159,2,1,2,26
1160,1,1,2,33
1161,2,2,1,44
1162,2,2,1,36
1163,2,2,1,39
1164,2,1,2,24
1165,2,2,2,25
1166,1,1,2,52
1167,3,2,1,59
1168,1,2,2,23
1169,3,2,2,48
1170,1,2,2,28
1171,3,1,1,62
1172,3,2,1,38
1173,1,2,2,32
1174,2,2,1,29
1175,2,1,2,25
1176,2,2,2,35
1177,2,2,2,27
1178,2,1,2,38
1179,2,1,2,24
1180,2,1,1,29
1181,1,2,2,27
1182,2,2,1,55
1183,1,2,2,29
1184,1,1,2,29
1185,2,1,2,23
1186,2,1,1,30
1187,2,2,1,50
1188,2,2,1,38
1189,1,2,2,24
1190,1,2,2,29
1191,1,1,2,38
1192,2,2,2,34
1193,1,1,1,37
1194,3,2,1,66
1195,1,2,1,39
1196,2,2,1,45
1197,2,1,1,44
1198,3,2,2,44
1199,1,1,1,36
1200,3,2,1,40
1201,1,1,2,29
1202,1,2,2,48
1203,2,2,2,23
1204,2,2,1,50
1205,2,2,1,29
1206,3,2,1,49
1207,2,1,1,33
1208,2,2,1,51
1209,3,1,1,23
1210,1,2,1,37
1211,3,2,2,26
1212,1,2,1,30
1213,3,2,1,26
1214,1,1,2,43
1215,1,1,2,32
1216,3,1,1,54
1217,1,2,1,30
1218,1,2,2,22
1219,2,1,2,38
1220,2,2,2,24
1221,1,2,2,24
1222,1,1,2,26
1223,2,2,1,42
1224,2,1,2,21
1225,3,1,2,22
1226,3,2,1,41
1227,2,2,1,50
1228,2,2,1,23
1229,3,1,2,46
1230,2,2,2,22
1231,1,1,2,37
1232,1,1,1,47
1233,2,2,1,40
1234,1,2,2,30
1235,2,1,2,54
1236,2,1,2,27
1237,1,1,1,33
1238,2,1,1,57
1239,2,2,1,35
1240,1,1,1,45
1241,3,2,1,32
1242,2,2,1,45
1243,3,2,1,50
1244,3,1,2,35
1245,1,1,2,26
1246,1,1,1,39
1247,2,2,2,35
1248,3,2,2,42
1249,1,2,1,52
1250,2,1,2,35
1251,1,2,2,29
1252,1,2,2,22
1253,2,1,2,30
1254,1,1,1,46
1255,3,1,2,28
1256,1,1,2,26
1257,1,2,2,28
1258,1,1,2,33
1259,1,1,2,24
1260,1,1,2,37
1261,2,1,1,50
1262,2,1,1,44
1263,3,2,1,43
1264,2,1,2,29
1265,5,2,2,27
1266,2,2,1,32
1267,2,2,2,34
1268,2,1,2,37
1269,2,2,2,32
1270,3,2,1,57
1271,2,2,3,46
1272,1,2,1,53
1273,1,2,2,26
1274,2,1,1,34
1275,1,1,2,26
1276,2,2,1,54
1277,3,1,2,26
1278,2,1,2,31
1279,2,2,2,30
1280,1,2,2,31
1281,1,1,2,34
1282,5,2,2,36
1283,3,1,1,34
1284,2,2,2,26
1285,2,1,1,43
1286,2,2,1,29
1287,2,1,1,41
1288,3,2,1,48
1289,2,2,2,24
1290,1,2,2,23
1291,3,2,1,53
1292,2,2,1,34
1293,2,2,2,36
1294,2,1,2,41
1295,1,2,2,30
1296,2,1,2,29
1297,2,2,1,34
1298,1,2,2,29
1299,2,1,1,37
1300,3,1,2,36
1301,3,2,2,22
1302,3,2,2,30
1303,2,1,2,26
1304,2,1,2,25
1305,2,1,1,49
1306,1,2,2,23
1307,2,2,1,28
1308,2,2,2,24
1309,3,1,1,47
1310,2,1,1,31
1311,2,1,2,24
1312,2,1,2,32
1313,1,1,2,31
1314,1,2,1,37
1315,2,1,1,48
1316,2,1,1,49
1317,3,1,1,45
1318,1,2,1,34
1319,1,2,1,43
1320,1,2,2,31
1321,1,2,1,35
1322,1,2,1,42
1323,1,1,2,36
1324,2,1,1,51
1325,3,1,1,48
1326,2,1,1,48
1327,2,2,2,25
1328,2,1,1,41
1329,2,2,1,49
1330,1,1,2,28
1331,2,2,2,28
1332,2,2,1,38
1333,2,1,1,41
1334,3,2,2,29
1335,3,2,2,32
1336,2,2,2,26
1337,1,2,2,31
1338,1,2,2,23
1339,3,2,1,53
1340,3,2,2,49
1341,1,2,1,34
1342,1,2,2,22
1343,2,2,2,26
1344,1,1,1,38
1345,1,2,2,35
1346,2,2,1,49
1347,1,1,2,40
1348,1,2,2,34
1349,2,2,2,49
1350,2,1,2,29
1351,1,2,1,39
1352,1,1,2,30
1353,3,2,1,28
1354,2,2,1,27
1355,3,2,1,38
1356,2,1,2,29
1357,2,2,1,22
1358,1,1,1,41
