,GENDER,RACE
204, Female, White
205, Female, White
206, Male, Black
207, Male, White
208, Female, White
209, Female, White
210, Male, Black
211, Male, White
212, Female, Amer-Indian-Eskimo
213, Male, Asian-Pac-Islander
214, Male, White
215, Male, Black
216, Female, White
217, Male, White
218, Male, White
219, Male, White
220, Male, White
221, Male, White
222, Male, Black
223, Male, Black
224, Female, White
225, Female, White
226, Female, Amer-Indian-Eskimo
227, Male, White
228, Female, White
229, Female, White
230, Male, Black
231, Female, Black
232, Male, White
233, Female, Other
234, Male, White
235, Male, White
236, Female, White
237, Male, White
238, Male, White
239, Male, White
240, Male, White
241, Female, White
242, Male, White
243, Male, White
244, Male, White
245, Male, White
246, Male, White
247, Female, White
248, Male, White
249, Male, White
250, Female, White
251, Female, Black
252, Female, Black
253, Male, White
254, Male, White
255, Male, Asian-Pac-Islander
256, Female, White
257, Female, White
258, Female, White
259, Male, White
260, Female, White
261, Male, White
262, Male, White
263, Male, White
264, Male, White
265, Male, Asian-Pac-Islander
266, Male, White
267, Male, White
268, Female, White
269, Female, White
270, Male, White
271, Male, White
272, Male, White
273, Male, White
274, Female, White
275, Male, Black
276, Male, White
277, Female, White
278, Female, White
279, Female, White
280, Female, White
281, Male, White
282, Female, Black
283, Female, White
284, Male, White
285, Male, White
286, Male, White
287, Male, White
288, Female, White
289, Male, White
290, Male, White
291, Female, White
292, Male, White
293, Male, White
294, Female, Black
295, Male, White
296, Female, White
297, Female, Asian-Pac-Islander
298, Male, White
299, Male, White
300, Male, White
301, Female, Asian-Pac-Islander
302, Male, White
303, Male, White
304, Female, Asian-Pac-Islander
305, Female, White
306, Male, White
307, Female, White
308, Male, White
309, Male, White
310, Male, White
311, Male, Asian-Pac-Islander
312, Female, Black
313, Female, Black
314, Male, White
315, Male, White
316, Male, White
317, Female, White
318, Female, White
319, Female, White
320, Male, White
321, Male, White
322, Male, White
323, Female, White
324, Male, White
325, Male, White
326, Female, Black
327, Female, White
328, Male, White
329, Male, White
330, Male, Black
331, Male, White
332, Male, White
333, Male, White
334, Male, White
335, Male, White
336, Male, White
337, Male, White
338, Male, Black
339, Male, Black
340, Male, White
341, Male, White
342, Male, White
343, Male, White
344, Female, Black
345, Male, White
346, Male, White
347, Female, White
348, Male, White
349, Male, White
350, Male, White
351, Male, White
352, Male, White
353, Male, White
354, Male, White
355, Male, White
356, Male, Other
357, Male, White
358, Female, White
359, Male, White
360, Female, White
361, Male, White
362, Male, White
363, Male, White
364, Male, White
365, Male, White
366, Male, White
367, Female, White
368, Female, White
369, Female, White
370, Female, White
371, Male, White
372, Male, White
373, Male, Black
374, Male, Black
375, Female, White
376, Female, White
377, Male, White
378, Male, White
379, Male, White
380, Male, White
381, Female, White
382, Male, White
383, Female, White
384, Female, White
385, Female, White
386, Male, White
387, Female, White
388, Female, White
389, Female, White
390, Female, White
391, Male, White
392, Male, White
393, Male, White
394, Female, White
395, Male, White
396, Female, White
397, Female, White
398, Male, White
399, Male, White
400, Male, White
401, Female, White
402, Male, White
403, Female, White
404, Male, Other
405, Male, White
406, Male, White
407, Male, White
408, Female, White
409, Male, White
410, Female, Black
411, Female, Black
412, Female, White
413, Male, White
414, Male, White
415, Male, White
416, Male, White
417, Female, White
418, Male, Black
419, Female, White
420, Male, White
421, Male, White
422, Female, White
423, Male, White
424, Female, White
425, Male, White
426, Male, White
427, Male, White
428, Male, White
429, Male, White
430, Male, White
431, Male, White
432, Female, White
433, Female, White
434, Male, Asian-Pac-Islander
435, Male, White
436, Male, Black
437, Female, White
438, Male, White
439, Female, White
440, Male, White
441, Female, White
442, Male, White
443, Male, White
444, Male, White
445, Male, White
446, Female, Black
447, Male, Amer-Indian-Eskimo
448, Male, White
449, Female, White
450, Female, Black
451, Male, White
452, Male, White
453, Male, Black
454, Female, White
455, Male, Asian-Pac-Islander
456, Female, White
457, Male, Black
458, Male, White
459, Male, White
460, Male, White
461, Male, Black
462, Male, White
463, Male, White
464, Female, White
465, Female, White
466, Male, White
467, Male, White
468, Male, White
469, Female, White
470, Male, White
471, Male, White
472, Male, White
473, Male, White
474, Female, White
475, Female, White
476, Male, White
477, Male, White
478, Male, White
479, Female, White
480, Male, White
481, Male, White
482, Male, White
483, Female, White
484, Male, Black
485, Female, Black
486, Male, White
487, Male, White
488, Female, White
489, Male, White
490, Female, White
491, Male, White
492, Female, White
493, Female, White
494, Male, White
495, Female, White
496, Male, White
497, Male, White
498, Female, White
499, Male, White
500, Male, White
501, Male, White
502, Male, White
503, Female, White
504, Female, White
505, Male, Black
506, Male, White
507, Male, White
508, Female, Black
509, Female, White
510, Male, White
511, Female, Black
512, Male, White
513, Male, White
514, Male, White
515, Female, White
516, Female, Amer-Indian-Eskimo
517, Male, White
518, Female, White
519, Male, White
520, Male, White
521, Male, White
522, Male, Black
523, Male, White
524, Male, White
525, Female, White
526, Male, White
527, Female, White
528, Male, White
529, Male, White
530, Female, Other
531, Male, White
532, Male, Black
533, Female, White
534, Male, White
535, Male, White
536, Female, Black
537, Male, White
538, Female, White
539, Female, Black
540, Male, White
541, Male, White
542, Female, White
543, Male, White
544, Male, White
545, Female, White
546, Female, White
547, Male, White
548, Male, White
549, Male, White
550, Male, White
551, Female, White
552, Female, White
553, Female, Black
554, Female, Black
555, Female, White
556, Male, White
557, Female, White
558, Female, White
559, Male, White
560, Male, White
561, Male, White
562, Male, White
563, Female, Black
564, Male, White
565, Male, Amer-Indian-Eskimo
566, Male, White
567, Female, White
568, Male, White
569, Male, White
570, Male, White
571, Male, White
572, Male, White
573, Male, White
574, Female, White
575, Male, White
576, Male, White
577, Female, White
578, Female, White
579, Male, White
580, Male, White
581, Male, White
582, Male, White
583, Male, White
584, Male, White
585, Female, White
586, Male, White
587, Male, White
588, Male, White
589, Male, White
590, Male, White
591, Female, Asian-Pac-Islander
592, Male, White
593, Male, White
594, Female, White
595, Male, White
596, Female, Amer-Indian-Eskimo
597, Male, White
598, Male, White
599, Female, White
600, Male, White
601, Male, White
602, Female, White
603, Male, White
604, Male, White
605, Female, Black
606, Male, White
607, Male, Amer-Indian-Eskimo
608, Male, Black
609, Female, White
610, Female, White
611, Male, White
612, Male, White
613, Male, White
614, Female, White
615, Male, White
616, Male, Black
617, Male, White
618, Male, White
619, Male, White
620, Female, White
621, Female, Black
622, Female, Black
623, Male, White
624, Male, White
625, Male, Black
626, Male, White
627, Male, White
628, Male, White
629, Male, White
630, Female, Black
631, Female, Black
632, Male, White
633, Female, Black
634, Male, White
635, Female, White
636, Male, White
637, Male, White
638, Male, White
639, Male, White
640, Male, White
641, Male, White
642, Male, White
643, Male, White
644, Male, White
645, Male, White
646, Female, White
647, Male, White
648, Male, White
649, Male, White
650, Male, White
651, Male, White
652, Male, Asian-Pac-Islander
653, Female, White
654, Female, White
655, Female, Asian-Pac-Islander
656, Female, White
657, Male, White
658, Male, White
659, Male, White
660, Male, Black
661, Male, White
662, Male, White
663, Male, White
664, Female, White
665, Female, White
666, Male, White
667, Male, Black
668, Female, Asian-Pac-Islander
669, Male, White
670, Male, White
671, Female, White
672, Male, White
673, Male, White
674, Male, White
675, Female, White
676, Male, White
677, Male, White
678, Male, White
679, Male, White
680, Male, White
681, Male, White
682, Male, White
683, Male, Black
684, Female, White
685, Female, White
686, Male, White
687, Female, White
688, Male, White
689, Male, White
690, Male, White
691, Female, Black
692, Male, White
693, Male, White
694, Female, White
695, Male, White
696, Male, White
697, Male, White
698, Female, White
699, Female, White
700, Male, White
701, Female, White
702, Male, White
703, Male, White
704, Female, White
705, Female, White
706, Male, Black
707, Male, Black
708, Male, White
709, Male, White
710, Male, White
711, Female, Black
712, Male, White
713, Male, White
714, Female, White
715, Female, Black
716, Male, White
717, Female, White
718, Female, White
719, Male, White
720, Male, White
721, Male, White
722, Male, White
723, Male, White
724, Male, White
725, Male, White
726, Female, White
727, Female, White
728, Male, White
729, Male, White
730, Female, White
731, Female, Asian-Pac-Islander
732, Male, White
733, Female, White
734, Female, Black
735, Male, White
736, Female, Black
737, Male, White
738, Female, Black
739, Male, White
740, Female, White
741, Male, White
742, Female, White
743, Male, White
744, Male, White
745, Female, White
746, Male, White
747, Female, Black
748, Male, Black
749, Male, White
750, Male, White
751, Male, White
752, Male, White
753, Male, White
754, Male, White
755, Male, White
756, Male, White
757, Female, White
758, Female, White
759, Male, Black
760, Female, White
761, Female, White
762, Male, White
763, Male, White
764, Male, White
765, Female, White
766, Male, White
767, Female, White
768, Female, White
769, Male, White
770, Female, White
771, Male, White
772, Male, White
773, Female, White
774, Male, White
775, Male, White
776, Female, White
777, Male, White
778, Male, White
779, Male, White
780, Male, White
781, Female, White
782, Male, White
783, Male, White
784, Female, Other
785, Female, Black
786, Male, White
787, Male, White
788, Male, White
789, Female, White
790, Male, White
791, Male, White
792, Male, White
793, Female, White
794, Male, White
795, Male, Black
796, Male, White
797, Male, Black
798, Male, White
799, Male, White
800, Male, White
801, Male, Black
802, Male, White
803, Female, White
804, Female, White
805, Male, White
806, Male, White
807, Male, White
808, Male, White
809, Male, White
810, Female, White
811, Male, Black
812, Male, White
813, Male, White
814, Male, White
815, Female, White
816, Female, White
817, Male, White
818, Male, White
819, Male, White
820, Male, White
821, Female, White
822, Male, White
823, Female, White
824, Male, White
825, Male, White
826, Female, White
827, Female, White
828, Male, White
829, Male, White
830, Male, White
831, Female, White
832, Male, White
833, Male, White
834, Female, White
835, Male, White
836, Male, White
837, Female, White
838, Male, White
839, Male, White
840, Male, White
841, Male, White
842, Male, White
843, Female, White
844, Male, White
845, Male, White
846, Female, White
847, Male, White
848, Male, White
849, Male, White
850, Female, White
851, Female, White
852, Male, White
853, Female, White
854, Male, White
855, Male, White
856, Female, White
857, Male, White
858, Female, White
859, Female, White
860, Female, White
861, Male, White
862, Male, White
863, Male, White
864, Male, White
865, Female, White
866, Male, White
867, Male, White
868, Male, White
869, Male, White
870, Male, White
871, Male, White
872, Male, White
873, Male, Asian-Pac-Islander
874, Male, Black
875, Male, White
876, Female, Black
877, Female, White
878, Male, White
879, Female, White
880, Female, White
881, Male, White
882, Male, White
883, Male, White
884, Female, White
885, Male, White
886, Male, White
887, Male, White
888, Male, Black
889, Female, White
890, Female, Black
891, Male, White
892, Female, Asian-Pac-Islander
893, Male, White
894, Male, White
895, Male, White
896, Male, White
897, Female, White
898, Male, White
899, Male, White
900, Male, White
901, Male, White
902, Female, White
903, Male, Amer-Indian-Eskimo
904, Male, White
905, Female, White
906, Male, White
907, Male, Black
908, Male, White
909, Male, White
910, Male, White
911, Male, White
912, Male, White
913, Male, White
914, Male, Black
915, Male, White
916, Female, Asian-Pac-Islander
917, Male, Asian-Pac-Islander
918, Male, White
919, Male, White
920, Male, White
921, Male, White
922, Female, White
923, Female, Black
924, Male, White
925, Male, White
926, Male, White
927, Male, White
928, Female, White
929, Female, White
930, Male, White
931, Female, White
932, Male, White
933, Female, White
934, Male, White
935, Male, White
936, Female, White
937, Male, White
938, Male, White
939, Male, White
940, Female, Amer-Indian-Eskimo
941, Male, Black
942, Male, White
943, Female, White
944, Male, White
945, Female, Black
946, Female, White
947, Female, White
948, Male, White
949, Male, White
950, Female, White
951, Male, White
952, Female, Black
953, Female, White
954, Male, White
955, Male, White
956, Male, White
957, Male, White
958, Male, White
959, Male, White
960, Male, White
961, Female, White
962, Male, White
963, Female, White
964, Male, White
965, Female, White
966, Male, White
967, Male, White
968, Male, Asian-Pac-Islander
969, Female, White
970, Male, White
971, Female, White
972, Male, White
973, Male, White
974, Male, White
975, Female, White
976, Female, White
977, Male, White
978, Female, Black
979, Male, White
980, Female, White
981, Female, White
982, Female, Black
983, Male, White
984, Male, White
985, Female, White
986, Female, Black
987, Female, White
988, Male, White
989, Female, White
990, Male, White
991, Male, White
992, Male, White
993, Male, White
994, Male, White
995, Male, White
996, Male, White
997, Male, White
998, Male, White
999, Male, White
1000, Male, White
1001, Male, White
1002, Female, White
1003, Female, White
1004, Male, White
1005, Male, White
1006, Male, Black
1007, Male, White
1008, Male, White
1009, Male, White
1010, Female, White
1011, Male, White
1012, Male, White
1013, Male, White
1014, Male, White
1015, Male, White
1016, Female, White
1017, Female, White
1018, Male, White
1019, Male, White
1020, Male, White
1021, Male, White
1022, Female, White
1023, Male, White
1024, Female, Black
1025, Male, White
1026, Male, Black
1027, Male, White
1028, Female, White
1029, Male, Asian-Pac-Islander
1030, Female, White
1031, Male, White
1032, Male, White
1033, Female, Black
1034, Male, White
1035, Male, White
1036, Male, White
1037, Male, White
1038, Female, Black
1039, Female, White
1040, Female, White
1041, Female, Black
1042, Female, White
1043, Male, White
1044, Female, White
1045, Male, White
1046, Female, White
1047, Male, White
1048, Female, White
1049, Male, White
1050, Male, White
1051, Male, White
1052, Male, White
1053, Male, White
1054, Male, White
1055, Male, White
1056, Male, White
1057, Female, White
1058, Male, White
1059, Male, White
1060, Male, White
1061, Male, White
1062, Male, White
1063, Female, White
1064, Male, White
1065, Male, White
1066, Male, White
1067, Male, White
1068, Male, White
1069, Female, White
1070, Female, White
1071, Male, White
1072, Male, White
1073, Female, White
1074, Male, White
1075, Male, White
1076, Female, Black
1077, Male, Asian-Pac-Islander
1078, Male, White
1079, Female, White
1080, Female, White
1081, Female, White
1082, Male, White
1083, Male, White
1084, Male, White
1085, Male, White
1086, Male, White
1087, Male, White
1088, Male, White
1089, Male, White
1090, Male, White
1091, Male, White
1092, Male, Asian-Pac-Islander
1093, Male, White
1094, Male, White
1095, Male, Asian-Pac-Islander
1096, Male, White
1097, Female, White
1098, Female, White
1099, Female, White
1100, Male, White
1101, Male, White
1102, Male, White
1103, Male, Black
1104, Female, White
1105, Female, White
1106, Male, White
1107, Male, White
1108, Male, White
1109, Male, White
1110, Male, White
1111, Female, White
1112, Male, White
1113, Female, White
1114, Female, White
1115, Male, White
1116, Male, White
1117, Male, White
1118, Female, White
1119, Male, Asian-Pac-Islander
1120, Male, White
1121, Female, White
1122, Male, White
1123, Male, White
1124, Female, Black
1125, Female, White
1126, Male, White
1127, Male, Black
1128, Male, White
1129, Male, White
1130, Female, Black
1131, Female, White
1132, Female, White
1133, Female, White
1134, Male, White
1135, Male, White
1136, Male, White
1137, Male, Black
1138, Male, White
1139, Male, White
1140, Female, White
1141, Male, White
1142, Female, White
1143, Male, White
1144, Male, White
1145, Male, White
1146, Female, White
1147, Male, White
1148, Male, White
1149, Male, White
1150, Male, White
1151, Female, White
1152, Male, White
1153, Male, White
1154, Male, White
1155, Male, White
1156, Male, White
1157, Female, White
1158, Male, Asian-Pac-Islander
1159, Male, White
1160, Male, White
1161, Male, White
1162, Male, White
1163, Male, White
1164, Female, White
1165, Female, Black
1166, Male, White
1167, Female, White
1168, Male, White
1169, Male, White
1170, Female, White
1171, Female, Black
1172, Male, White
1173, Male, White
1174, Male, White
1175, Male, White
1176, Female, White
1177, Male, White
1178, Female, White
1179, Male, Asian-Pac-Islander
1180, Male, White
1181, Female, White
1182, Male, White
1183, Male, White
1184, Male, White
1185, Male, White
1186, Female, Black
1187, Male, White
1188, Female, White
1189, Male, White
1190, Male, White
1191, Male, White
1192, Male, White
1193, Male, White
1194, Female, White
1195, Female, Black
1196, Male, White
1197, Male, White
1198, Female, White
1199, Male, White
1200, Male, Black
1201, Male, White
1202, Male, White
1203, Male, White
1204, Male, Black
1205, Male, White
1206, Male, White
1207, Male, White
1208, Male, White
1209, Male, White
1210, Male, White
1211, Male, White
1212, Female, White
1213, Male, White
1214, Male, White
1215, Female, White
1216, Male, Amer-Indian-Eskimo
1217, Female, Asian-Pac-Islander
1218, Male, White
1219, Male, White
1220, Male, White
1221, Male, White
1222, Male, White
1223, Female, White
1224, Male, White
1225, Female, White
1226, Male, White
1227, Male, White
1228, Female, White
1229, Male, White
1230, Male, White
1231, Female, White
1232, Female, White
1233, Male, White
1234, Female, Black
1235, Female, White
1236, Female, White
1237, Female, White
1238, Female, White
1239, Female, White
1240, Male, White
1241, Female, White
1242, Female, White
1243, Male, White
1244, Male, White
1245, Female, White
1246, Male, White
1247, Male, White
1248, Female, White
1249, Female, White
1250, Male, White
1251, Male, White
1252, Male, White
1253, Female, White
1254, Male, White
1255, Male, Asian-Pac-Islander
1256, Female, White
1257, Male, White
1258, Male, White
1259, Male, White
1260, Male, White
1261, Male, White
1262, Female, White
1263, Female, White
1264, Male, White
1265, Female, White
1266, Male, White
1267, Male, White
1268, Male, White
1269, Male, White
1270, Female, Black
1271, Male, White
1272, Female, White
1273, Female, Black
1274, Female, White
1275, Male, White
1276, Male, White
1277, Male, White
1278, Male, White
1279, Male, White
1280, Male, White
1281, Female, Asian-Pac-Islander
1282, Male, White
1283, Male, Black
1284, Female, White
1285, Male, White
1286, Male, White
1287, Male, White
1288, Male, White
1289, Male, White
1290, Male, White
1291, Female, White
1292, Male, White
1293, Male, Black
1294, Male, White
1295, Male, White
1296, Male, White
1297, Male, White
1298, Male, Black
1299, Male, White
1300, Male, Black
1301, Female, Black
1302, Female, White
1303, Male, White
1304, Male, White
1305, Male, White
1306, Male, White
1307, Female, White
1308, Male, White
1309, Female, White
1310, Male, White
1311, Female, White
1312, Female, White
1313, Female, White
1314, Male, White
1315, Female, White
1316, Male, White
1317, Male, White
1318, Male, White
1319, Male, White
1320, Female, White
1321, Male, White
1322, Male, White
1323, Male, White
1324, Male, White
1325, Male, White
1326, Male, White
1327, Female, Asian-Pac-Islander
1328, Female, Black
1329, Female, Black
1330, Male, White
1331, Female, White
1332, Male, Black
1333, Male, White
1334, Male, White
1335, Female, White
1336, Male, White
1337, Male, White
1338, Female, White
1339, Male, White
1340, Male, White
1341, Female, White
1342, Male, White
1343, Male, White
1344, Male, Other
1345, Female, White
1346, Male, White
1347, Female, White
1348, Male, Asian-Pac-Islander
1349, Male, White
1350, Male, White
1351, Male, White
1352, Female, White
1353, Male, White
1354, Male, Black
1355, Male, White
1356, Male, Black
1357, Male, White
1358, Male, White
1359, Male, White
1360, Male, White
1361, Male, White
1362, Female, White
1363, Female, White
1364, Female, White
1365, Female, White
1366, Female, Black
1367, Female, Black
1368, Male, Asian-Pac-Islander
1369, Male, White
1370, Male, Black
1371, Male, White
1372, Female, White
1373, Male, White
1374, Female, White
1375, Female, Black
1376, Male, White
1377, Male, White
1378, Male, White
1379, Female, White
1380, Male, White
1381, Male, White
1382, Male, White
1383, Male, White
1384, Male, White
1385, Male, White
1386, Male, Black
1387, Male, White
1388, Male, White
1389, Male, White
1390, Female, White
1391, Male, Black
1392, Female, White
1393, Female, Black
1394, Male, Black
1395, Male, White
1396, Male, Black
1397, Male, White
1398, Male, White
1399, Male, White
1400, Female, White
1401, Male, White
1402, Female, White
1403, Male, White
1404, Female, Black
1405, Male, White
1406, Male, White
1407, Female, White
1408, Male, White
1409, Male, White
1410, Female, White
1411, Male, Asian-Pac-Islander
1412, Male, White
1413, Male, White
1414, Male, White
1415, Male, Asian-Pac-Islander
1416, Male, White
1417, Male, Black
1418, Female, White
1419, Female, White
1420, Male, White
1421, Male, Black
1422, Female, White
1423, Male, White
1424, Male, Black
1425, Male, Amer-Indian-Eskimo
1426, Male, White
1427, Female, Black
1428, Male, White
1429, Male, White
1430, Female, White
1431, Female, White
1432, Male, White
1433, Female, White
1434, Male, Black
1435, Female, White
1436, Male, White
1437, Female, White
1438, Female, White
1439, Male, White
1440, Male, White
1441, Male, White
1442, Male, White
1443, Male, White
1444, Male, White
1445, Male, White
1446, Male, White
1447, Male, White
1448, Male, White
1449, Male, White
1450, Male, White
1451, Male, Black
1452, Male, White
1453, Male, White
1454, Male, Black
1455, Female, Black
1456, Male, White
1457, Male, White
1458, Female, Black
1459, Male, White
1460, Male, White
1461, Male, Black
1462, Male, White
1463, Male, White
1464, Male, Amer-Indian-Eskimo
1465, Male, Black
1466, Male, White
1467, Female, White
1468, Male, White
1469, Male, White
1470, Male, White
1471, Male, Asian-Pac-Islander
1472, Female, White
1473, Male, White
1474, Female, White
1475, Male, White
1476, Female, White
1477, Female, White
1478, Female, Asian-Pac-Islander
1479, Male, White
1480, Male, White
1481, Male, White
1482, Male, White
1483, Male, White
1484, Male, Black
1485, Male, White
1486, Male, White
1487, Female, White
1488, Female, White
1489, Male, White
1490, Male, White
1491, Female, White
1492, Male, White
1493, Male, White
1494, Male, Amer-Indian-Eskimo
1495, Male, White
1496, Male, White
1497, Female, White
1498, Male, White
1499, Male, White
1500, Male, White
1501, Male, White
1502, Male, White
1503, Male, White
1504, Male, White
1505, Male, White
1506, Male, White
1507, Male, White
1508, Female, Black
1509, Male, Black
1510, Male, Black
1511, Male, White
1512, Male, White
1513, Male, White
1514, Male, White
1515, Male, Asian-Pac-Islander
1516, Male, White
1517, Female, White
1518, Male, White
1519, Male, Black
1520, Male, White
1521, Female, White
1522, Female, White
1523, Female, White
1524, Male, White
1525, Male, Black
1526, Male, White
1527, Male, White
1528, Male, White
1529, Female, White
1530, Male, Black
1531, Male, White
1532, Female, White
1533, Male, Black
1534, Female, White
1535, Female, White
1536, Male, White
1537, Male, White
1538, Female, White
1539, Male, Black
1540, Female, White
1541, Male, White
1542, Male, White
1543, Male, White
1544, Male, White
1545, Male, White
1546, Male, White
1547, Male, White
1548, Male, White
1549, Female, White
1550, Female, White
1551, Male, White
1552, Female, White
1553, Female, White
1554, Male, White
1555, Male, Black
1556, Male, White
1557, Male, White
1558, Male, White
1559, Female, Black
1560, Male, White
1561, Male, White
1562, Female, White
1563, Male, White
1564, Female, Black
1565, Female, Black
1566, Male, White
1567, Male, Black
1568, Male, White
1569, Male, White
1570, Female, Black
1571, Male, White
1572, Male, White
1573, Male, White
1574, Male, White
1575, Male, White
1576, Male, White
1577, Male, White
1578, Male, White
1579, Female, White
1580, Male, White
1581, Male, Asian-Pac-Islander
1582, Male, White
1583, Male, White
1584, Male, White
1585, Male, White
1586, Male, White
1587, Male, White
1588, Female, White
1589, Female, White
1590, Male, White
1591, Male, White
1592, Male, White
1593, Male, White
1594, Male, White
1595, Male, White
1596, Female, White
1597, Female, Black
1598, Male, White
1599, Male, White
1600, Male, White
1601, Female, White
1602, Female, White
1603, Male, Black
1604, Male, White
1605, Male, White
1606, Female, Black
1607, Male, White
1608, Male, White
1609, Male, Asian-Pac-Islander
1610, Female, White
1611, Female, White
1612, Male, White
1613, Male, White
1614, Male, White
1615, Male, White
1616, Male, White
1617, Female, White
1618, Male, White
1619, Male, White
1620, Male, White
1621, Male, White
1622, Female, Asian-Pac-Islander
1623, Male, White
1624, Female, Other
1625, Male, White
1626, Male, White
1627, Female, White
1628, Female, White
1629, Female, Black
1630, Male, White
1631, Female, White
1632, Male, White
1633, Male, White
1634, Male, White
1635, Male, White
1636, Female, White
1637, Female, White
1638, Male, White
1639, Male, White
1640, Female, Black
1641, Male, White
1642, Male, White
1643, Male, White
1644, Female, White
1645, Female, White
1646, Male, Black
1647, Male, White
1648, Male, White
1649, Female, Black
1650, Male, White
1651, Male, White
1652, Male, White
1653, Male, White
1654, Male, Black
1655, Male, White
1656, Female, White
1657, Male, White
1658, Male, White
1659, Male, White
1660, Male, White
1661, Male, White
1662, Male, White
1663, Male, White
1664, Male, Black
1665, Female, White
1666, Male, White
1667, Male, White
1668, Male, White
1669, Male, White
1670, Male, White
1671, Male, White
1672, Male, White
1673, Male, White
1674, Female, White
1675, Male, White
1676, Male, White
1677, Male, White
1678, Male, White
1679, Male, White
1680, Female, White
1681, Male, White
1682, Male, White
1683, Female, White
1684, Male, White
1685, Male, White
1686, Female, Black
1687, Male, White
1688, Female, White
1689, Male, White
1690, Female, White
1691, Female, White
1692, Male, White
1693, Female, White
1694, Male, White
1695, Male, Black
1696, Female, White
1697, Male, White
1698, Male, White
1699, Male, White
1700, Female, Black
1701, Female, White
1702, Male, White
1703, Female, White
1704, Female, White
1705, Male, White
1706, Male, White
1707, Female, White
1708, Male, Asian-Pac-Islander
1709, Male, White
1710, Female, White
1711, Male, White
1712, Male, White
1713, Male, White
1714, Male, Black
1715, Female, Amer-Indian-Eskimo
1716, Female, White
1717, Male, Asian-Pac-Islander
1718, Male, White
1719, Male, White
1720, Female, White
1721, Male, White
1722, Male, White
1723, Male, White
1724, Female, White
1725, Male, White
1726, Male, White
1727, Male, White
1728, Female, White
1729, Male, White
1730, Male, White
1731, Male, Black
1732, Male, Black
1733, Male, White
1734, Male, White
1735, Male, White
1736, Male, White
1737, Female, White
1738, Male, White
1739, Male, White
1740, Male, White
1741, Female, White
1742, Female, White
1743, Female, White
1744, Male, White
1745, Female, White
1746, Male, White
1747, Female, White
1748, Female, White
1749, Female, White
1750, Female, White
1751, Male, White
1752, Female, White
1753, Female, White
1754, Male, Black
1755, Female, White
1756, Male, Asian-Pac-Islander
1757, Male, White
1758, Male, White
1759, Female, White
1760, Female, White
